"","rating_count","price","stars","ratingta","ratingta_count","scarce_room","hotel_id","offer","distance","distance_alter","rating","log_price","neighbourhood_f","offer_cat_f","accommodation_type_f","ratingta_flag","ratingta_count_flag","rating_count_flag","rating_flag","gbm_prediction","gbm_prediction_res","bestdeals"
"1",53,85,4,3.5,629,0,21901,1,1.4,2.5,3.7,4.44265125649032,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.50665385898656,-0.0640026024962408,FALSE
"2",55,83,3,4,52,0,21902,1,1.7,2.5,4,4.4188406077966,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.43052885941936,-0.0116882516227639,FALSE
"3",33,82,4,3.5,219,1,21903,1,1.2,2.8,3.9,4.40671924726425,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.40121358600342,0.0055056612608313,FALSE
"4",25,229,5,4.5,27,1,21904,1,0.9,3,4.8,5.43372200355424,"Alsergrund","1-15% offer","Apartment",0,0,0,0,5.28927330046994,0.1444487030843,FALSE
"5",57,103,4,3.5,251,1,21906,0,0.9,2.4,3.9,4.63472898822964,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.56773805556734,0.0669909326622999,FALSE
"6",161,150,4,4.5,617,0,21907,0,1,2.7,4.6,5.01063529409626,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.84690182135137,0.163733472744886,FALSE
"7",50,80,2,3.5,146,1,21908,1,0.7,2.7,3.5,4.38202663467388,"Alsergrund","1-15% offer","Hotel",0,0,0,0,4.69244548790772,-0.31041885323384,FALSE
"8",0,153,3,0,0,1,21910,1,1.5,2.7,0,5.03043792139244,"Alsergrund","15-50% offer","Apartment",0,0,0,0,5.04075803295108,-0.0103201115586495,FALSE
"9",203,60,4,4,359,1,21912,1,1.1,2.7,4.1,4.0943445622221,"Alsergrund","1-15% offer","Hotel",0,0,0,0,4.46217226303675,-0.367827700814653,FALSE
"10",251,128,4,4,829,0,21913,0,0.8,2.9,4,4.85203026391962,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.80115373118762,0.050876532731996,FALSE
"11",142,100,4,4,55,1,21914,1,1,2.3,4.5,4.60517018598809,"Alsergrund","15-50% offer","Apartment",0,0,0,0,4.50251701300637,0.102653172981724,FALSE
"12",8,143,2,0,0,1,21915,1,1.2,2.3,3.7,4.96284463025991,"Alsergrund","15-50% offer","Apartment",0,0,0,0,4.88448184694824,0.0783627833116647,FALSE
"13",0,106,2.5,2,74,1,21916,0,0.7,2.6,0,4.66343909411207,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.72320328153818,-0.0597641874261141,FALSE
"14",18,85,4,4,62,0,21917,1,1.7,2.6,4.1,4.44265125649032,"Alsergrund","1-15% offer","Hotel",0,0,0,0,4.54864950154302,-0.105998245052706,FALSE
"15",20,77,3,3.5,97,0,21918,1,0.9,2.8,3.7,4.34380542185368,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.49304517175885,-0.149239749905164,FALSE
"16",77,78,3,3.5,120,1,21919,1,0.8,2.8,3.9,4.35670882668959,"Alsergrund","15-50% offer","Hotel",0,0,0,0,4.47836030935605,-0.121651482666462,FALSE
"17",76,78,3,3.5,161,1,21920,0,0.9,2.8,4,4.35670882668959,"Alsergrund","0% no offer","Hotel",0,0,0,0,4.37449160663773,-0.0177827799481367,FALSE
"18",0,260,3.5,5,2,1,21921,0,3.4,0.6,0,5.56068163101553,"Donaustadt","0% no offer","Apartment",0,0,0,0,5.26997008296394,0.290711548051592,FALSE
"19",5,158,3,4.5,72,1,21922,0,3.4,0.6,4.8,5.06259503302697,"Donaustadt","0% no offer","Apartment",0,0,0,0,4.87667792566227,0.185917107364698,FALSE
"20",77,77,3,4,158,1,21924,0,4.2,1.5,3.9,4.34380542185368,"Donaustadt","0% no offer","Hotel",0,0,0,0,4.49182394814676,-0.148018526293072,FALSE
"21",193,77,3,3,91,0,21925,1,3.9,1.9,2.7,4.34380542185368,"Donaustadt","50%-75% offer","Hotel",0,0,0,0,4.21853323313703,0.125272188716659,FALSE
"22",94,95,4,4,228,0,21926,1,3.6,1.2,4.3,4.55387689160054,"Donaustadt","15-50% offer","Hotel",0,0,0,0,4.69625793614664,-0.142381044546095,FALSE
"23",1,156,3,0,0,1,21927,0,3.8,1.2,3,5.04985600724954,"Donaustadt","0% no offer","Apartment",0,0,0,0,4.94883651231276,0.101019494936774,FALSE
"24",5,145,3,4.5,205,1,21928,0,3.5,0.8,3.5,4.97673374242057,"Donaustadt","0% no offer","Other",0,0,0,0,4.50754840711341,0.469185335307167,FALSE
"25",178,208,4,4,1085,1,21930,0,2.9,0.6,4.1,5.33753807970132,"Donaustadt","0% no offer","Hotel",0,0,0,0,4.97594030318465,0.361597776516666,FALSE
"26",330,87,3,3.5,423,1,21933,0,3.4,0.9,3.7,4.46590811865458,"Donaustadt","0% no offer","Hotel",0,0,0,0,4.48288130066891,-0.0169731820143308,FALSE
"27",6,131,2,0,0,1,21934,1,2.3,4.9,3.5,4.87519732320115,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.88607166041215,-0.0108743372110025,FALSE
"28",194,54,3,4,522,0,21935,1,2,4.5,3.5,3.98898404656427,"Favoriten","50%-75% offer","Hotel",0,0,0,0,4.19463083637037,-0.205646789806099,FALSE
"29",9,139,2,3,17,1,21936,1,2.4,5,3,4.93447393313069,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.77936948330308,0.15510444982761,FALSE
"30",3,184,2,0,0,1,21937,1,2.8,5.3,3.2,5.21493575760899,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.97883346213685,0.236102295472133,FALSE
"31",1,127,3,0,0,1,21938,1,2.9,5.2,1,4.84418708645859,"Favoriten","15-50% offer","Apartment",0,0,0,0,5.01099611591597,-0.166809029457374,FALSE
"32",0,95,3,0,0,1,21939,0,2.5,5.1,0,4.55387689160054,"Favoriten","0% no offer","Apartment",0,0,0,0,4.76053269060109,-0.20665579900055,FALSE
"33",441,99,3.5,4.5,630,0,21940,0,1.7,4.2,4.4,4.59511985013459,"Favoriten","0% no offer","Hotel",0,0,0,0,4.44332361713696,0.151796232997627,FALSE
"34",1122,75,3.5,4.5,573,0,21941,1,1.7,4.1,4.4,4.31748811353631,"Favoriten","15-50% offer","Hotel",0,0,0,0,4.36979791449292,-0.0523098009566105,FALSE
"35",362,76,3,4,269,0,21943,1,2.1,4.6,4.4,4.33073334028633,"Favoriten","15-50% offer","Hotel",0,0,0,0,4.27478808155245,0.0559452587338809,FALSE
"36",2,130,2,0,0,1,21945,1,2.5,5.1,3,4.86753445045558,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.89498400258436,-0.0274495521287825,FALSE
"37",525,91,4,4.5,741,0,21946,0,1.9,4.2,4.5,4.51085950651685,"Favoriten","0% no offer","Hotel",0,0,0,0,4.60163074470997,-0.0907712381931178,FALSE
"38",1,135,2,0,0,1,21947,1,2.4,5,3,4.90527477843843,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.95574723047442,-0.0504724520359945,FALSE
"39",113,56,2,3,183,1,21948,0,2,4.5,2,4.02535169073515,"Favoriten","0% no offer","Hotel",0,0,0,0,4.35488868737303,-0.329536996637879,FALSE
"40",71,27,2,3.5,216,1,21949,0,2.7,5.1,3.7,3.29583686600433,"Favoriten","0% no offer","Other",0,0,0,0,3.93390101431477,-0.638064148310438,FALSE
"41",1,88,3,0,0,1,21950,1,2.3,4.6,3,4.47733681447821,"Favoriten","1-15% offer","Apartment",0,0,0,0,4.79030212667104,-0.312965312192828,FALSE
"42",22,133,2,0,0,1,21951,1,2.5,4.8,3.5,4.89034912822175,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.87105613259837,0.0192929956233856,FALSE
"43",366,33,2,3.5,491,0,21956,0,1.8,4.3,3.4,3.49650756146648,"Favoriten","0% no offer","Hotel",0,0,0,0,3.90613693494044,-0.40962937347396,FALSE
"44",0,116,3.5,0,0,0,21958,0,2,4.4,0,4.75359019110636,"Favoriten","0% no offer","Apartment",0,0,0,0,4.85823983827083,-0.104649647164469,FALSE
"45",821,71,4,4,31,0,21959,1,1.7,4.2,4,4.26267987704132,"Favoriten","1-15% offer","Hotel",0,0,0,0,4.37614909438062,-0.113469217339304,FALSE
"46",16,90,3.5,0,0,1,21960,1,2.7,5.3,3.5,4.49980967033027,"Favoriten","1-15% offer","Apartment",0,0,0,0,4.5997607855142,-0.0999511151839325,FALSE
"47",23,84,4,0,0,1,21962,1,1.9,4.3,4.1,4.43081679884331,"Favoriten","15-50% offer","Apartment",0,0,0,0,4.57360500380138,-0.142788204958071,FALSE
"48",38,63,3,0,0,0,21963,1,2.3,4.7,4.3,4.14313472639153,"Favoriten","15-50% offer","Other",0,0,0,0,4.51806222492029,-0.37492749852876,FALSE
"49",184,156,3,4.5,1347,1,21968,1,0.3,2.6,4.5,5.04985600724954,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.01719407560062,0.0326619316489216,FALSE
"50",78,513,5,5,1126,1,21969,1,0.3,2.8,4.8,6.24027584517077,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.8926544129803,0.347621432190465,FALSE
"51",319,133,4,4,466,1,21970,1,0.3,2.6,4.3,4.89034912822175,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.8647054580458,0.0256436701759544,FALSE
"52",73,123,4,3.5,47,1,21971,1,0.5,3.1,4.1,4.81218435537242,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.06924953678907,-0.25706518141665,FALSE
"53",81,219,4,4.5,392,1,21972,1,0.3,3,4.5,5.3890717298165,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.58728039428515,-0.198208664468648,FALSE
"54",271,152,4,4,261,0,21973,1,0.3,3,4.3,5.02388052084628,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.07535904914139,-0.0514785282951156,FALSE
"55",211,115,4,4.5,211,1,21975,1,0.1,2.7,4.3,4.74493212836325,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.85356595158234,-0.108633823219088,FALSE
"56",5,806,5,4.5,114,0,21976,1,0.3,2.8,4.5,6.69208374250663,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,6.10398984767123,0.588093894835403,FALSE
"57",316,138,4,4.5,463,0,21977,1,0.2,2.6,4.5,4.92725368515721,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.12810944553263,-0.200855760375429,FALSE
"58",28,95,3,0,0,1,21979,0,0.4,2.5,3.7,4.55387689160054,"Innere Stadt","0% no offer","Apartment",0,0,0,0,4.8672386576616,-0.313361766061063,FALSE
"59",336,146,4,4,714,0,21980,0,0.1,2.9,4.4,4.98360662170834,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.00465792422896,-0.0210513025206236,FALSE
"60",83,103,3,4,159,0,21981,0,0.7,3.1,4,4.63472898822964,"Innere Stadt","0% no offer","Other",0,0,0,0,4.63175515366082,0.00297383456881217,FALSE
"61",0,125,3.5,0,0,1,21983,0,0.5,3.3,0,4.8283137373023,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.48894787241308,-0.66063413511078,TRUE
"62",88,98,3,3.5,66,1,21984,0,0.5,2.6,3.7,4.58496747867057,"Innere Stadt","0% no offer","Hotel",0,0,0,0,4.54800622801337,0.0369612506572006,FALSE
"63",140,121,3.5,4.5,557,1,21985,1,0.3,2.5,4.5,4.79579054559674,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.03398498125625,-0.238194435659511,FALSE
"64",391,149,4,4,1516,0,21986,1,0.2,2.6,4,5.00394630594546,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,4.90647917175603,0.0974671341894275,FALSE
"65",320,120,3,3.5,515,0,21987,1,0.3,2.5,3.9,4.78749174278205,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,4.61708666637694,0.170405076405103,FALSE
"66",21,157,3,4.5,146,1,21988,1,0.4,2.9,4.4,5.05624580534831,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.47167236512595,-0.41542655977764,FALSE
"67",193,261,5,5,945,1,21989,1,0.3,3.1,4.8,5.56452040732269,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.11070569602728,0.453814711295411,FALSE
"68",75,145,3.5,4,48,1,21990,1,0.7,3.4,4.1,4.97673374242057,"Innere Stadt","15-50% offer","Apartment",0,0,0,0,4.96633364686878,0.0104000955517956,FALSE
"69",35,275,4,4,16,1,21991,1,0.2,2.6,4.3,5.61677109766657,"Innere Stadt","15-50% offer","Apartment",0,0,0,0,5.39424241731412,0.222528680352452,FALSE
"70",0,253,3.5,0,0,1,21992,0,0.2,2.9,0,5.53338948872752,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.29207981969094,0.241309669036576,FALSE
"71",0,209,4,0,0,1,21993,0,0.2,2.9,0,5.34233425196481,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.50729252094344,-0.164958268978627,FALSE
"72",505,112,4,4,607,0,21995,1,0.2,2.9,4,4.71849887129509,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.84219451364486,-0.123695642349769,FALSE
"73",386,138,4,4,273,0,21996,1,0.3,2.5,4.3,4.92725368515721,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.90729643122662,0.0199572539305857,FALSE
"74",109,84,3,4,171,1,21997,1,0.4,2.6,4,4.43081679884331,"Innere Stadt","1-15% offer","Other",0,0,0,0,4.46129686807857,-0.0304800692352547,FALSE
"75",626,199,4.5,4.5,3171,0,21998,1,0.3,2.9,4.5,5.29330482472449,"Innere Stadt","50%-75% offer","Hotel",0,0,0,0,5.30587454428172,-0.0125697195572263,FALSE
"76",334,203,5,4.5,917,0,21999,1,0.3,2.9,4.4,5.31320597904179,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.25459403543118,0.0586119436106083,FALSE
"77",0,116,3,3,4,1,22001,0,0.2,2.7,0,4.75359019110636,"Innere Stadt","0% no offer","Other",0,0,0,0,4.86187669718704,-0.108286506080678,FALSE
"78",0,107,3.5,0,0,1,22002,0,0.2,2.7,0,4.67282883446191,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.0785004166384,-0.405671582176499,FALSE
"79",0,127,3.5,0,0,1,22003,0,0.2,2.7,0,4.84418708645859,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.0785004166384,-0.234313330179813,FALSE
"80",0,104,3.5,0,0,1,22004,0,0.2,2.7,0,4.64439089914137,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.0785004166384,-0.434109517497032,FALSE
"81",11,168,3.5,3.5,4,1,22005,1,0.2,2.6,4,5.12396397940326,"Innere Stadt","15-50% offer","Apartment",0,0,0,0,5.04534803182839,0.0786159475748684,FALSE
"82",150,544,5,4.5,1178,0,22006,0,0.5,3.2,4.8,6.29894924685594,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.78066043867911,0.518288808176837,FALSE
"83",531,252,5,4.5,1050,0,22007,1,0.5,3.2,4.6,5.52942908751142,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.2791893458865,0.25023974162492,FALSE
"84",253,323,5,4.5,1168,0,22008,1,0.5,3.2,4.5,5.77765232322266,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.74915063862158,0.0285016846010775,FALSE
"85",47,158,3,4,232,1,22009,0,0.3,3.1,4.3,5.06259503302697,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.24163144709063,-0.179036414063662,FALSE
"86",19,156,3.5,0,0,1,22010,1,0.2,2.7,4,5.04985600724954,"Innere Stadt","15-50% offer","Apartment",0,0,0,0,4.94813344833174,0.101722558917801,FALSE
"87",124,218,4,5,1112,1,22011,1,0.2,2.6,4.6,5.38449506278909,"Innere Stadt","50%-75% offer","Hotel",0,0,0,0,5.36760821762357,0.0168868451655166,FALSE
"88",115,218,4,4.5,475,0,22012,1,0.1,2.7,4.5,5.38449506278909,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.46894444634896,-0.0844493835598712,FALSE
"89",110,135,3,3.5,162,0,22013,1,0.3,2.6,3.9,4.90527477843843,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.82021705124247,0.0850577271959576,FALSE
"90",16,219,2,0,0,1,22014,1,0.6,2.6,4,5.3890717298165,"Innere Stadt","15-50% offer","Apartment",0,0,0,0,5.10768155383508,0.281390175981425,FALSE
"91",467,179,4,4.5,423,1,22016,0,0.5,3.3,4.4,5.18738580584075,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.13413921312303,0.0532465927177226,FALSE
"92",0,511,3.5,0,0,1,22017,1,0.5,3.3,0,6.2363695902037,"Innere Stadt","1-15% offer","Apartment",0,0,0,0,5.59110898507023,0.645260605133474,FALSE
"93",650,157,4,4.5,1380,0,22018,1,0.7,3.5,4.5,5.05624580534831,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.34427027708785,-0.288024471739543,FALSE
"94",95,146,4,4.5,770,1,22019,0,0.3,2.8,4.5,4.98360662170834,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.2240169396579,-0.24041031794956,FALSE
"95",564,200,5,4,1850,0,22020,1,0.4,2.9,4.3,5.29831736654804,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.25645106256414,0.0418663039838982,FALSE
"96",168,157,4,4,392,1,22021,0,0.1,2.8,4.1,5.05624580534831,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.01270538363108,0.0435404217172257,FALSE
"97",0,138,4,0,0,1,22022,0,0.3,2.6,0,4.92725368515721,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.3491423688089,-0.421888683651692,FALSE
"98",175,108,3,3.5,234,1,22023,1,0.3,2.5,3.5,4.68213122712422,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.54595451445847,0.136176712665751,FALSE
"99",0,290,3.5,0,0,1,22025,0,0.2,2.6,0,5.66988092298052,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.08053299381407,0.589347929166451,FALSE
"100",426,127,4,4,840,0,22026,1,0.8,3.1,4,4.84418708645859,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.74430098770635,0.0998860987522363,FALSE
"101",1,114,3,0,0,1,22027,0,0.7,3,3,4.7361984483945,"Innere Stadt","0% no offer","Other",0,0,0,0,4.94910444693481,-0.212905998540316,FALSE
"102",148,163,4,4,388,1,22028,0,0.4,2.7,4.1,5.09375020080676,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.02334033262437,0.0704098681823941,FALSE
"103",163,116,4,4.5,212,1,22029,1,0.2,2.8,4.5,4.75359019110636,"Innere Stadt","15-50% offer","Other",0,0,0,0,4.95983801667573,-0.206247825569362,FALSE
"104",493,226,5,4.5,2985,0,22030,1,0.5,3.3,4.3,5.42053499927229,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.51481486582416,-0.0942798665518758,FALSE
"105",56,231,4,4.5,282,0,22031,1,0.1,2.7,4.4,5.44241771052179,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.75193007073857,-0.309512360216779,FALSE
"106",247,116,4,4.5,1274,1,22032,1,0.4,2.6,4.4,4.75359019110636,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.20588860750999,-0.452298416403625,FALSE
"107",169,76,3,4,167,1,22033,1,0.4,2.6,3.7,4.33073334028633,"Innere Stadt","15-50% offer","Other",0,0,0,0,4.319086020302,0.0116473199843314,FALSE
"108",1,135,3.5,0,0,1,22034,0,0.3,2.6,1,4.90527477843843,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.08053299381407,-0.175258215375639,FALSE
"109",599,184,5,4.5,1330,0,22035,1,0.6,2.7,4.5,5.21493575760899,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.31738884433388,-0.102453086724892,FALSE
"110",258,384,5,5,1207,0,22036,1,0.6,2.5,4.8,5.95064255258773,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.60076997561633,0.3498725769714,FALSE
"111",703,166,4,4,1592,1,22037,1,0.6,2.8,4.3,5.11198778835654,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.08728091696485,0.0247068713916976,FALSE
"112",230,187,5,4,468,0,22038,1,0.5,3.1,4.1,5.23110861685459,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,5.14254646217127,0.0885621546833173,FALSE
"113",112,371,5,4.5,1319,0,22039,1,0.5,3.1,4.6,5.91620206260743,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.60336282324029,0.312839239367145,FALSE
"114",278,156,4,4.5,272,1,22040,0,0.1,2.7,4.4,5.04985600724954,"Innere Stadt","0% no offer","Other",0,0,0,0,4.77875798216197,0.271098025087563,FALSE
"115",0,220,3.5,0,0,1,22041,0,0.3,2.5,0,5.39362754635236,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.12343381095812,0.270193735394247,FALSE
"116",81,169,4,4.5,561,1,22042,0,0.3,2.5,4.5,5.12989871492307,"Innere Stadt","0% no offer","Hotel",0,0,0,0,5.1897784146561,-0.0598796997330258,FALSE
"117",0,103,3,0,0,1,22043,0,0.3,2.7,0,4.63472898822964,"Innere Stadt","0% no offer","Apartment",0,0,0,0,4.91826807737449,-0.283539089144856,FALSE
"118",15,266,5,0,0,1,22044,0,0.3,2.6,4.5,5.5834963087817,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.31614609557291,0.267350213208787,FALSE
"119",203,131,3,4,338,1,22045,1,0.1,2.9,3.9,4.87519732320115,"Innere Stadt","15-50% offer","Other",0,0,0,0,4.58494090074418,0.290256422456972,FALSE
"120",150,168,4,4.5,154,1,22046,0,0.2,2.8,4.6,5.12396397940326,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.14282740383664,-0.0188634244333787,FALSE
"121",0,101,3,0,0,1,22047,0,0.2,2.6,0,4.61512051684126,"Innere Stadt","0% no offer","Apartment",0,0,0,0,4.92030065455016,-0.305180137708896,FALSE
"122",0,364,3.5,0,0,1,22049,0,0.2,3,0,5.89715386763674,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.28395673012121,0.613197137515527,FALSE
"123",404,242,4,4.5,2165,0,22050,1,0,2.8,4.8,5.48893772615669,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.33377015496847,0.155167571188222,FALSE
"124",123,223,4,3.5,276,1,22051,0,0.5,2.4,3.5,5.40717177146012,"Innere Stadt","0% no offer","Hotel",0,0,0,0,4.95462471131642,0.452547060143702,FALSE
"125",653,149,4,4.5,930,1,22052,1,0.3,2.7,4.4,5.00394630594546,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.89921866668201,0.104727639263445,FALSE
"126",0,232,3.5,0,0,1,22053,0,0.2,2.7,0,5.44673737166631,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.0785004166384,0.368236955027905,FALSE
"127",388,114,4,4,836,0,22054,1,0.5,2.3,4,4.7361984483945,"Innere Stadt","15-50% offer","Hotel",0,0,0,0,4.86966563107734,-0.133467182682848,FALSE
"128",1,253,3.5,0,0,1,22055,0,0.1,2.8,2,5.53338948872752,"Innere Stadt","0% no offer","Apartment",0,0,0,0,5.26850794443766,0.264881544289859,FALSE
"129",230,163,4,4.5,203,1,22057,1,0.3,2.6,4.4,5.09375020080676,"Innere Stadt","15-50% offer","Other",0,0,0,0,4.71819901551628,0.375551185290482,FALSE
"130",69,116,3,4.5,774,1,22059,1,0.4,3.1,4.1,4.75359019110636,"Innere Stadt","15-50% offer","Other",0,0,0,0,4.86843778952379,-0.114847598417422,FALSE
"131",34,139,4,3.5,54,1,22061,1,0.2,2.9,3.5,4.93447393313069,"Innere Stadt","1-15% offer","Hotel",0,0,0,0,5.19160655272746,-0.257132619596772,FALSE
"132",6,91,3.5,0,0,1,22063,0,0.2,2.7,3.2,4.51085950651685,"Innere Stadt","0% no offer","Apartment",0,0,0,0,4.81897857431539,-0.30811906779854,FALSE
"133",102,79,3,3.5,127,1,22064,1,1.4,3.6,3.5,4.36944785246702,"Josefstadt","1-15% offer","Hotel",0,0,0,0,4.30558795967415,0.0638598927928733,FALSE
"134",65,66,4,3.5,85,1,22065,1,1.1,3.2,3.7,4.18965474202643,"Josefstadt","15-50% offer","Other",0,0,0,0,4.20922416095303,-0.0195694189266034,FALSE
"135",9,100,3,4,17,1,22066,1,1.1,3.2,3,4.60517018598809,"Josefstadt","1-15% offer","Apartment",0,0,0,0,4.76059690623282,-0.155426720244725,FALSE
"136",11,75,2.5,3.5,33,1,22067,1,1.3,3.4,3,4.31748811353631,"Josefstadt","1-15% offer","Other",0,0,0,0,4.5282561677752,-0.210768054238891,FALSE
"137",51,73,2,3,87,1,22068,0,1.2,3.3,3.5,4.29045944114839,"Josefstadt","0% no offer","Other",0,0,0,0,4.2016664521506,0.0887929889977874,FALSE
